

Results from heasarc_hipparcos: Hipparcos Main Catalog
Coordinate system:  Equatorial
|pm_ra   |pm_dec  |hip_number|vmag |ra_deg      |dec_deg     |hd_id |
| -546.01|-1223.08|     32349|-1.44|101.28854105|-16.71314306| 48915|
|   19.99|   23.67|     30438|-0.62|095.98787763|-52.69571799| 45348|
|-1093.45|-1999.40|     69673|-0.05|213.91811403|+19.18726997|124897|
|-3678.19|  481.84|     71683|-0.01|219.92041034|-60.83514707|128620|
|  201.02|  287.46|     91262| 0.03|279.23410832|+38.78299311|172167|
|   75.52| -427.13|     24608| 0.08|079.17206517|+45.99902927| 34029|
|    1.87|   -0.56|     24436| 0.18|078.63446353|-08.20163919| 34085|
| -716.57|-1034.58|     37279| 0.40|114.82724194|+05.22750767| 61421|
|   88.02|  -40.08|      7588| 0.45|024.42813204|-57.23666007| 10144|
|   27.33|   10.86|     27989| 0.45|088.79287161|+07.40703634| 39801|
|  -33.96|  -25.06|     68702| 0.61|210.95601898|-60.37297840|122451|
|  536.82|  385.54|     97649| 0.76|297.69450860|+08.86738491|187642|
|  -35.37|  -14.73|     60718| 0.77|186.64975585|-63.09905586|108248|
|   62.78| -189.36|     21421| 0.87|068.98000195|+16.50976164| 29139|
|  -42.50|  -31.73|     65474| 0.98|201.29835230|-11.16124491|116658|
|  -10.16|  -23.21|     80763| 1.06|247.35194804|-26.43194608|148478|
| -625.69|  -45.95|     37826| 1.16|116.33068263|+28.02631031| 62509|
|  329.22| -164.22|    113368| 1.17|344.41177323|-29.62183701|216956|
|    1.56|    1.55|    102098| 1.25|310.35797270|+45.28033423|197345|
|  -48.24|  -12.82|     62434| 1.25|191.93049537|-59.68873246|111123|
|-3600.35|  952.11|     71681| 1.35|219.91412833|-60.83947139|128621|
| -249.40|    4.91|     49669| 1.36|152.09358075|+11.96719513| 87901|
|    2.63|    2.29|     33579| 1.50|104.65644451|-28.97208931| 52089|
| -206.33| -148.18|     36850| 1.58|113.65001898|+31.88863645| 60179|
|   27.94| -264.33|     61084| 1.59|187.79137202|-57.11256922|108903|
|   -8.90|  -29.95|     85927| 1.62|263.40219373|-37.10374835|158926|
